AB->A,B	ABC->A,BC	ABC->B,AC	ABC->C,AB	AC->A,C	BC->B,C
904	2	0	0	1	0	0
905	2	0	0	1	0	0
906	1	0	0	0	0	1
907	2	0	0	0	0	1
908	1	0	0	1	1	0
909	2	0	0	2	0	1
910	1	0	0	1	0	1
911	2	0	0	1	0	0
912	1	0	0	1	0	0
913	3	0	0	1	1	1
914	3	0	0	1	0	1
915	2	0	0	1	1	1
916	1	0	0	0	1	2
917	0	0	0	0	1	1
918	2	0	0	1	0	0
919	3	0	0	1	0	1
920	3	1	0	0	0	1
921	0	0	0	0	1	1
922	1	0	0	2	0	0
923	2	0	0	0	1	1
924	3	0	2	0	1	0
925	3	0	0	1	0	0
926	0	0	0	0	2	0
927	1	0	0	1	0	1
928	3	0	0	2	0	3
929	1	0	0	1	1	1
930	2	0	0	1	1	0
931	1	0	0	1	0	0
932	1	0	0	1	0	1
933	2	0	0	1	0	0
934	2	0	0	2	0	0
935	2	0	0	1	0	0
936	2	0	0	1	1	2
937	3	0	0	1	0	2
938	2	0	0	1	0	0
939	1	0	0	1	0	1
940	0	0	0	0	2	3
941	0	0	0	0	1	0
942	0	0	0	0	0	0
943	1	0	0	1	0	0
944	1	0	0	1	0	0
945	2	0	0	0	0	0
946	2	0	0	1	0	0
947	1	1	0	1	0	1
948	2	0	0	1	0	0
949	2	0	0	2	0	1
950	1	0	0	1	0	0
951	3	0	0	2	0	1
952	3	0	1	0	1	0
953	1	0	0	1	0	1
954	1	0	0	0	0	1
955	0	0	0	0	1	0
956	1	0	1	0	1	1
957	2	0	0	2	0	0
958	1	0	0	0	1	1
959	2	0	0	1	0	0
960	2	0	0	1	1	0
961	1	0	1	1	1	1
962	1	0	0	1	0	1
963	2	0	0	1	1	0
964	1	0	0	0	1	1
965	1	0	1	0	1	0
966	1	0	0	0	0	1
967	1	1	0	0	0	1
968	2	0	0	1	0	2
969	1	0	0	1	0	1
970	3	0	0	1	1	0
971	1	0	0	1	0	0
972	1	0	0	1	0	0
973	2	0	0	0	1	2
974	1	0	0	1	0	1
975	2	0	0	0	1	0
976	1	0	0	1	0	0
977	2	0	0	1	0	0
978	2	0	0	1	1	1
979	1	0	0	0	1	0
