,node,node.type,sampled_states_AT_nodes,clado_event_type,clado_event_txt,clado_dispersal_from,clado_dispersal_to,time_bp,left_desc_nodes,right_desc_nodes,nmap
320,78,internal,4,founder (j),C->A,C,C,A,0.9767818,79,13,63
321,86,internal,4,founder (j),C->B,C,C,B,1.4397735,16,17,63
322,89,internal,4,founder (j),C->C,B,C,B,0.6536147,24,25,63
323,72,internal,4,founder (j),C->B,C,C,B,1.2643832,1,2,64
324,77,internal,4,founder (j),C->C,B,C,B,1.0095247,78,14,64
325,78,internal,4,founder (j),C->A,C,C,A,0.9767818,79,13,64
326,86,internal,4,founder (j),C->B,C,C,B,1.4397735,16,17,64
327,89,internal,4,founder (j),C->C,B,C,B,0.6536147,24,25,64
328,72,internal,4,founder (j),C->B,C,C,B,1.2643832,1,2,65
329,77,internal,4,founder (j),C->C,B,C,B,1.0095247,78,14,65
330,78,internal,4,founder (j),C->A,C,C,A,0.9767818,79,13,65
331,86,internal,4,founder (j),C->B,C,C,B,1.4397735,16,17,65
332,89,internal,4,founder (j),C->C,B,C,B,0.6536147,24,25,65
333,72,internal,4,founder (j),C->B,C,C,B,1.2643832,1,2,66
334,77,internal,4,founder (j),C->C,B,C,B,1.0095247,78,14,66
335,78,internal,4,founder (j),C->A,C,C,A,0.9767818,79,13,66
336,86,internal,4,founder (j),C->B,C,C,B,1.4397735,16,17,66
337,89,internal,4,founder (j),C->C,B,C,B,0.6536147,24,25,66
338,72,internal,4,founder (j),C->B,C,C,B,1.2643832,1,2,67
339,77,internal,4,founder (j),C->C,B,C,B,1.0095247,78,14,67
340,78,internal,4,founder (j),C->A,C,C,A,0.9767818,79,13,67
341,86,internal,4,founder (j),C->B,C,C,B,1.4397735,16,17,67
342,89,internal,4,founder (j),C->C,B,C,B,0.6536147,24,25,67
343,71,internal,4,founder (j),C->B,C,C,B,1.2675084,72,3,68
344,72,internal,3,founder (j),B->B,C,B,C,1.2643832,1,2,68
345,77,internal,4,founder (j),C->C,B,C,B,1.0095247,78,14,68
346,78,internal,4,founder (j),C->A,C,C,A,0.9767818,79,13,68
347,86,internal,4,founder (j),C->B,C,C,B,1.4397735,16,17,68
348,89,internal,4,founder (j),C->C,B,C,B,0.6536147,24,25,68
349,72,internal,4,founder (j),C->B,C,C,B,1.2643832,1,2,69
350,78,internal,4,founder (j),C->A,C,C,A,0.9767818,79,13,69
351,83,internal,4,founder (j),C->C,B,C,B,1.4472368,84,20,69
352,86,internal,4,founder (j),C->B,C,C,B,1.4397735,16,17,69
353,89,internal,4,founder (j),C->C,B,C,B,0.6536147,24,25,69
354,72,internal,4,founder (j),C->B,C,C,B,1.2643832,1,2,70
355,77,internal,4,founder (j),C->C,B,C,B,1.0095247,78,14,70
356,78,internal,4,founder (j),C->A,C,C,A,0.9767818,79,13,70
357,86,internal,4,founder (j),C->B,C,C,B,1.4397735,16,17,70
358,89,internal,4,founder (j),C->C,B,C,B,0.6536147,24,25,70
359,72,internal,4,founder (j),C->B,C,C,B,1.2643832,1,2,71
360,77,internal,4,founder (j),C->C,B,C,B,1.0095247,78,14,71
