,node,node.type,sampled_states_AT_nodes,clado_event_type,clado_event_txt,clado_dispersal_from,clado_dispersal_to,time_bp,left_desc_nodes,right_desc_nodes,nmap
328,27,internal,4,founder (j),C->A,C,C,A,14.6110133,28,45,85
329,28,internal,2,founder (j),A->A,C,A,C,9.8902159,29,18,85
330,36,internal,2,founder (j),A->A,B,A,B,3.2364302,6,7,85
331,37,internal,2,founder (j),A->A,B,A,B,5.75728,38,12,85
332,45,internal,4,founder (j),C->C,B,C,B,13.5103594,46,48,85
333,28,internal,4,founder (j),C->A,C,C,A,9.8902159,29,18,86
334,36,internal,2,founder (j),A->A,B,A,B,3.2364302,6,7,86
335,37,internal,2,founder (j),A->A,B,A,B,5.75728,38,12,86
336,28,internal,4,founder (j),C->A,C,C,A,9.8902159,29,18,87
337,36,internal,2,founder (j),A->A,B,A,B,3.2364302,6,7,87
338,37,internal,2,founder (j),A->A,B,A,B,5.75728,38,12,87
339,45,internal,4,founder (j),C->C,B,C,B,13.5103594,46,48,87
340,28,internal,4,founder (j),C->A,C,C,A,9.8902159,29,18,88
341,36,internal,2,founder (j),A->A,B,A,B,3.2364302,6,7,88
342,37,internal,2,founder (j),A->A,B,A,B,5.75728,38,12,88
343,45,internal,4,founder (j),C->C,B,C,B,13.5103594,46,48,88
344,28,internal,4,founder (j),C->A,C,C,A,9.8902159,29,18,89
345,36,internal,2,founder (j),A->A,B,A,B,3.2364302,6,7,89
346,37,internal,2,founder (j),A->A,B,A,B,5.75728,38,12,89
347,28,internal,4,founder (j),C->A,C,C,A,9.8902159,29,18,90
348,36,internal,2,founder (j),A->A,B,A,B,3.2364302,6,7,90
349,37,internal,2,founder (j),A->A,B,A,B,5.75728,38,12,90
350,45,internal,4,founder (j),C->C,B,C,B,13.5103594,46,48,90
351,28,internal,4,founder (j),C->A,C,C,A,9.8902159,29,18,91
352,36,internal,2,founder (j),A->A,B,A,B,3.2364302,6,7,91
353,37,internal,2,founder (j),A->A,B,A,B,5.75728,38,12,91
354,28,internal,4,founder (j),C->A,C,C,A,9.8902159,29,18,92
355,36,internal,2,founder (j),A->A,B,A,B,3.2364302,6,7,92
356,37,internal,2,founder (j),A->A,B,A,B,5.75728,38,12,92
357,45,internal,4,founder (j),C->C,B,C,B,13.5103594,46,48,92
358,28,internal,4,founder (j),C->A,C,C,A,9.8902159,29,18,93
359,36,internal,2,founder (j),A->A,B,A,B,3.2364302,6,7,93
360,37,internal,2,founder (j),A->A,B,A,B,5.75728,38,12,93
361,45,internal,4,founder (j),C->C,B,C,B,13.5103594,46,48,93
362,28,internal,4,founder (j),C->A,C,C,A,9.8902159,29,18,94
363,36,internal,2,founder (j),A->A,B,A,B,3.2364302,6,7,94
364,37,internal,2,founder (j),A->A,B,A,B,5.75728,38,12,94
365,45,internal,4,founder (j),C->C,B,C,B,13.5103594,46,48,94
366,27,internal,2,founder (j),A->A,B,A,B,14.6110133,28,45,95
367,28,internal,2,founder (j),A->A,C,A,C,9.8902159,29,18,95
368,36,internal,2,founder (j),A->A,B,A,B,3.2364302,6,7,95
369,37,internal,2,founder (j),A->A,B,A,B,5.75728,38,12,95
370,45,internal,3,founder (j),B->C,B,B,C,13.5103594,46,48,95
371,28,internal,4,founder (j),C->A,C,C,A,9.8902159,29,18,96
372,36,internal,2,founder (j),A->A,B,A,B,3.2364302,6,7,96
373,37,internal,2,founder (j),A->A,B,A,B,5.75728,38,12,96
