,node,node.type,sampled_states_AT_nodes,clado_event_type,clado_event_txt,clado_dispersal_from,clado_dispersal_to,time_bp,left_desc_nodes,right_desc_nodes,nmap
300,27,internal,4,founder (j),C->C,B,C,B,4.3618615,28,8,87
301,31,internal,4,founder (j),C->C,B,C,B,1.9612794,9,10,87
302,24,internal,4,founder (j),C->C,B,C,B,2.2887183,25,3,88
303,27,internal,4,founder (j),C->C,B,C,B,4.3618615,28,8,88
304,31,internal,4,founder (j),C->C,B,C,B,1.9612794,9,10,88
305,24,internal,4,founder (j),C->C,B,C,B,2.2887183,25,3,89
306,27,internal,4,founder (j),C->C,B,C,B,4.3618615,28,8,89
307,31,internal,4,founder (j),C->C,B,C,B,1.9612794,9,10,89
308,24,internal,4,founder (j),C->C,B,C,B,2.2887183,25,3,90
309,27,internal,4,founder (j),C->C,B,C,B,4.3618615,28,8,90
310,31,internal,4,founder (j),C->C,B,C,B,1.9612794,9,10,90
311,24,internal,4,founder (j),C->C,B,C,B,2.2887183,25,3,91
312,27,internal,4,founder (j),C->C,B,C,B,4.3618615,28,8,91
313,31,internal,4,founder (j),C->C,B,C,B,1.9612794,9,10,91
314,24,internal,4,founder (j),C->C,B,C,B,2.2887183,25,3,92
315,27,internal,4,founder (j),C->C,B,C,B,4.3618615,28,8,92
316,30,internal,4,founder (j),C->B,C,C,B,4.8781392,31,11,92
317,31,internal,3,founder (j),B->C,B,B,C,1.9612794,9,10,92
318,24,internal,4,founder (j),C->C,B,C,B,2.2887183,25,3,93
319,27,internal,4,founder (j),C->C,B,C,B,4.3618615,28,8,93
320,31,internal,4,founder (j),C->C,B,C,B,1.9612794,9,10,93
321,24,internal,4,founder (j),C->C,B,C,B,2.2887183,25,3,94
322,27,internal,4,founder (j),C->C,B,C,B,4.3618615,28,8,94
323,31,internal,4,founder (j),C->C,B,C,B,1.9612794,9,10,94
324,19,root,4,founder (j),C->C,A,C,A,6.6399371,20,35,95
325,24,internal,4,founder (j),C->C,B,C,B,2.2887183,25,3,95
326,27,internal,4,founder (j),C->C,B,C,B,4.3618615,28,8,95
327,31,internal,4,founder (j),C->C,B,C,B,1.9612794,9,10,95
328,24,internal,4,founder (j),C->C,B,C,B,2.2887183,25,3,96
329,27,internal,4,founder (j),C->C,B,C,B,4.3618615,28,8,96
330,31,internal,4,founder (j),C->C,B,C,B,1.9612794,9,10,96
331,24,internal,4,founder (j),C->C,B,C,B,2.2887183,25,3,97
332,27,internal,4,founder (j),C->C,B,C,B,4.3618615,28,8,97
333,31,internal,4,founder (j),C->C,B,C,B,1.9612794,9,10,97
334,22,internal,4,founder (j),C->C,B,C,B,4.7854671,23,27,98
335,24,internal,4,founder (j),C->C,B,C,B,2.2887183,25,3,98
336,27,internal,3,founder (j),B->C,B,B,C,4.3618615,28,8,98
337,31,internal,4,founder (j),C->C,B,C,B,1.9612794,9,10,98
338,24,internal,4,founder (j),C->C,B,C,B,2.2887183,25,3,99
339,27,internal,4,founder (j),C->C,B,C,B,4.3618615,28,8,99
340,31,internal,4,founder (j),C->C,B,C,B,1.9612794,9,10,99
341,24,internal,4,founder (j),C->C,B,C,B,2.2887183,25,3,100
342,27,internal,4,founder (j),C->C,B,C,B,4.3618615,28,8,100
343,31,internal,4,founder (j),C->C,B,C,B,1.9612794,9,10,100
344,19,root,2,founder (j),A->C,A,A,C,6.6399371,20,35,101
345,24,internal,4,founder (j),C->C,B,C,B,2.2887183,25,3,101
346,27,internal,4,founder (j),C->C,B,C,B,4.3618615,28,8,101
347,31,internal,4,founder (j),C->C,B,C,B,1.9612794,9,10,101
348,24,internal,4,founder (j),C->C,B,C,B,2.2887183,25,3,102
349,27,internal,4,founder (j),C->C,B,C,B,4.3618615,28,8,102
350,31,internal,4,founder (j),C->C,B,C,B,1.9612794,9,10,102
351,24,internal,4,founder (j),C->C,B,C,B,2.2887183,25,3,103
352,27,internal,4,founder (j),C->C,B,C,B,4.3618615,28,8,103
353,31,internal,4,founder (j),C->C,B,C,B,1.9612794,9,10,103
354,24,internal,4,founder (j),C->C,B,C,B,2.2887183,25,3,104
355,27,internal,4,founder (j),C->C,B,C,B,4.3618615,28,8,104
356,30,internal,4,founder (j),C->B,C,C,B,4.8781392,31,11,104
357,31,internal,3,founder (j),B->C,B,B,C,1.9612794,9,10,104
358,24,internal,4,founder (j),C->C,B,C,B,2.2887183,25,3,105
359,27,internal,4,founder (j),C->C,B,C,B,4.3618615,28,8,105
